"timestamp CLC";"x CLC";"y CLC";"id CLC";"timestamp MVT";"x MVT";"y MVT";"timestamp TOC";"id TOC";
;;;;;;;"15616698";"TAB";
;;;;;;;"15617010";"TAB";
;;;;;;;"15617260";"TAB";
;;;;;;;"15618086";"TAB";
;;;;;;;"15618664";"TAB";
;;;;;;;"15619132";"TAB";
;;;;;;;"15619553";"TAB";
;;;;;;;"15619771";"TAB";
;;;;;;;"15619958";"TAB";
;;;;;;;"15620099";"TAB";
;;;;;;;"15620458";"TAB";
;;;;;;;"15620879";"TAB";
;;;;;;;"15621160";"ENTREE";
;;;;;;;"15623765";"j";
;;;;;;;"15623874";"e";
;;;;;;;"15624857";"ESPACE";
;;;;;;;"15625091";"v";
;;;;;;;"15625200";"a";
;;;;;;;"15625340";"i";
;;;;;;;"15625465";"s";
;;;;;;;"15625590";"ESPACE";
;;;;;;;"15625715";"a";
;;;;;;;"15625808";"u";
;;;;;;;"15625980";"ESPACE";
;;;;;;;"15626557";"t";
;;;;;;;"15626666";"o";
;;;;;;;"15626791";"i";
;;;;;;;"15626978";"l";
;;;;;;;"15627072";"e";
;;;;;;;"15627290";"t";
;;;;;;;"15627415";"t";
;;;;;;;"15627524";"e";
;;;;;;;"15627696";"ESPACE";
;;;;;;;"15628897";"é";
;;;;;;;"15629147";"é";
;;;;;;;"15629396";"é";
;;;;;;;"15629662";"""";
;;;;;;;"15629911";"""";
;;;;;;;"15630925";"²";
;;;;;;;"15631019";"&";
;;;;;;;"15631081";"é";
;;;;;;;"15631112";"""";
;;;;;;;"15631159";"'";
;;;;;;;"15631206";"(";
;;;;;;;"15631222";"-";
;;;;;;;"15631253";"è";
;;;;;;;"15631300";"_";
;;;;;;;"15631346";"ç";
;;;;;;;"15631378";"à";
;;;;;;;"15631424";")";
;;;;;;;"15631643";"à";
;;;;;;;"15631721";"ç";
;;;;;;;"15631752";"_";
;;;;;;;"15631814";"è";
;;;;;;;"15631846";"a";
;;;;;;;"15631892";"-";
;;;;;;;"15631955";"'";
;;;;;;;"15631955";"_";
;;;;;;;"15632048";"r";
;;;;;;;"15632111";"f";
;;;;;;;"15632126";"y";
;;;;;;;"15632126";"u";
;;;;;;;"15632158";"z";
;;;;;;;"15632220";"e";
;;;;;;;"15632220";"à";
;;;;;;;"15632267";"r";
;;;;;;;"15632360";"f";
;;;;;;;"15632360";"ç";
;;;;;;;"15632360";"p";
;;;;"15632423";"997";"525";;;
;;;;"15632423";"997";"532";;;
;;;;"15632438";"999";"553";;;
;;;;"15632454";"1007";"586";;;
;;;;;;;"15632470";"u";
;;;;;;;"15632470";"i";
;;;;;;;"15632485";"e";
;;;;"15632485";"1009";"591";;;
;;;;"15632501";"1009";"592";;;
;;;;;;;"15632548";"c";
;;;;;;;"15632563";"j";
;;;;;;;"15632563";"n";
;;;;;;;"15632657";"l";
;;;;;;;"15632813";"_";
;;;;;;;"15632813";"ç";
;;;;;;;"15632860";"p";
;;;;;;;"15632860";"u";
;;;;;;;"15633031";"z";
;;;;;;;"15633031";"e";
;;;;;;;"15633047";"m";
;;;;;;;"15633047";"f";
;;;;;;;"15633047";"j";
;;;;;;;"15633062";"i";
;;;;;;;"15633062";"o";
;;;;;;;"15633094";"s";
;;;;;;;"15633094";",";
;;;;;;;"15633109";"k";
;;;;;;;"15633109";"l";
;;;;;;;"15633172";"c";
;;;;;;;"15633187";"d";
;;;;;;;"15633328";")";
;;;;;;;"15633328";"u";
;;;;;;;"15633328";"_";
;;;;;;;"15633328";"ç";
;;;;;;;"15633374";"u";
;;;;;;;"15633484";"j";
;;;;;;;"15633484";"i";
;;;;;;;"15633499";"o";
;;;;;;;"15633515";"F3";
;;;;;;;"15633530";"é";
;;;;;;;"15633530";"'";
;;;;;;;"15633640";"""";
;;;;;;;"15633827";"_";
;;;;;;;"15633827";"F9";
;;;;;;;"15633936";"ç";
;;;;;;;"15633967";"à";
;;;;;;;"15634014";"F4";
;;;;;;;"15634076";"'";
;;;;;;;"15634217";"è";
;;;;;;;"15634295";"_";
;;;;;;;"15634295";"F9";
;;;;;;;"15634326";"F2";
;;;;;;;"15634404";"ç";
;;;;;;;"15634467";"F4";
;;;;;;;"15634560";"""";
;;;;;;;"15634560";"_";
;;;;;;;"15634701";"F11";
;;;;;;;"15634716";"ç";
;;;;;;;"15634732";"à";
;;;;;;;"15634888";"é";
;;;;;;;"15634903";"'";
;;;;;;;"15634919";"F3";
;;;;;;;"15634981";"""";
;;;;;;;"15634981";"r";
;;;;;;;"15635059";"z";
;;;;;;;"15635059";")";
;;;;;;;"15635091";"F10";
;;;;;;;"15635153";"u";
;;;;;;;"15635169";"_";
;;;;;;;"15635200";"à";
;;;;;;;"15635247";"j";
;;;;;;;"15635278";"i";
;;;;;;;"15635278";"o";
;;;;;;;"15635371";",";
;;;;;;;"15635387";"k";
;;;;;;;"15635387";"l";
;;;;;;;"15635481";"'";
;;;;;;;"15635527";"é";
;;;;;;;"15635527";"""";
;;;;;;;"15635590";"r";
;;;;;;;"15635637";"z";
;;;;;;;"15635746";"q";
;;;;;;;"15635746";"e";
;;;;;;;"15635761";"_";
;;;;;;;"15635761";"F11";
;;;;;;;"15635777";"c";
;;;;;;;"15635808";"i";
;;;;;;;"15635808";"ç";
;;;;;;;"15635839";"s";
